Field Name,Display Name,Data Type,Required,Editable By,Dropdown Values (if fixed),Source File,Notes
service_partner,Service Partner,Enum,No,Admin Only,"Motherhood | Rainbow | Fortis | Apollo Cradle | Cloud 9 | HCL Healthcare | Mamily | Others",backend/app/models/lead.py & frontend/src/types/lead.types.ts,Healthcare service partner
provider_location,Partner Center,String,No,Admin Only,N/A,backend/app/models/lead.py,Location/center of service partner
reason_for_no_sale,Reason for No Sale,Enum,No,Admin + Agent,"Already Taking Service outside | Location not suitable | Different Service Provider Required-Brand | Travelling to Native Place for delivery | Package Cost | Only Delivery Package required | Package inadequate | Miscarriage | Looking for other HCLH services | Others",backend/app/models/lead.py & frontend/src/types/lead.types.ts,Reason if lead did not convert
doctor_name,Treating Doctor Name,String,No,Admin Only,N/A,backend/app/models/lead.py,Treating doctor's name
doctor_speciality,Doctor Speciality/Department,String,No,Admin Only,N/A,backend/app/models/lead.py,Treating doctor's speciality/department
consult_date,Consult Date,Date,No,Admin Only,N/A (Date picker),backend/app/models/lead.py,Format: YYYY-MM-DD
visit_id,Visit ID,String,No,Admin Only,N/A,backend/app/models/lead.py,Unique visit identifier
age,Age,Integer,No,Admin Only,N/A,backend/app/models/lead.py,Patient's age in years
gender,Gender,String,No,Admin Only,"Male | Female | Other",backend/app/models/lead.py,Patient's gender
icd_code,ICD Code,String,No,Admin Only,N/A,backend/app/models/lead.py,International Classification of Diseases code
diagnosis,Diagnosis,String,No,Admin Only,N/A,backend/app/models/lead.py,Medical diagnosis
investigation_item_name,Investigation Item Name,String,No,Admin Only,N/A,backend/app/models/lead.py,Name of investigation/test
investigation_service_type,Investigation Service Type,String,No,Admin Only,N/A,backend/app/models/lead.py,Type of investigation service
cug_name,CUG Name,String,No,Admin Only,N/A,backend/app/models/lead.py,Closed User Group name
follow_up_date,Follow Up Date,DateTime,No,Admin + Agent,N/A (DateTime picker),backend/app/models/lead.py,Format: YYYY-MM-DDTHH:MM:SS
number_of_calls,Number of Calls,Integer,No,Admin + Agent,N/A,backend/app/models/lead.py,Total call count - auto-incremented
calls,Calls,Array,No,Admin + Agent,N/A,backend/app/models/lead.py,"Array of {call_number, date_time, summary}"
assigned_to,Assigned To,String (User ID),No,Admin Only,N/A (User dropdown),backend/app/models/lead.py,User ID of assigned agent
assigned_to_name,Assigned To Name,String,No,Admin Only,N/A,backend/app/models/lead.py,Display name of assigned agent
reassign_to,Reassign To,String (User ID),No,Admin + Agent,N/A (User dropdown),backend/app/models/lead.py,User ID for reassignment request
reassign_to_name,Reassign To Name,String,No,Admin + Agent,N/A,backend/app/models/lead.py,Display name for reassignment
comments,Comments,Array,No,Admin + Agent,N/A,backend/app/models/lead.py,"Array of {text, created_at, created_by, created_by_name}"
created_at,Created At,DateTime,Auto-generated,System Only,N/A,backend/app/models/lead.py,Timestamp of creation
updated_at,Updated At,DateTime,Auto-generated,System Only,N/A,backend/app/models/lead.py,Timestamp of last update
created_by,Created By,String,Auto-generated,System Only,N/A,backend/app/models/lead.py,User ID who created the lead
